,Year,Month,Day,水日通量,沙日通量
2016-01-01,2016,1,1,31104000.0,25209792.0
2016-01-02,2016,1,2,30326400.0,25474176.0
2016-01-03,2016,1,3,29376000.0,19740672.0
2016-01-04,2016,1,4,26265600.0,17098905.6
2016-01-05,2016,1,5,27734400.0,19219939.2
2016-01-06,2016,1,6,29894400.0,21942489.599999998
2016-01-07,2016,1,7,32659200.0,23220691.2
2016-01-08,2016,1,8,33091200.0,30443904.0
2016-01-09,2016,1,9,33868800.0,32243097.599999998
2016-01-10,2016,1,10,32659200.0,31320172.799999997
2016-01-11,2016,1,11,28339200.0,24768460.8
2016-01-12,2016,1,12,28339200.0,24400051.2
2016-01-13,2016,1,13,31449600.0,26763609.599999998
2016-01-14,2016,1,14,31104000.0,27464832.0
2016-01-15,2016,1,15,31104000.0,25847424.0
2016-01-16,2016,1,16,30672000.0,26561952.0
2016-01-17,2016,1,17,29116800.0,25855718.4
2016-01-18,2016,1,18,27993600.0,24578380.8
2016-01-19,2016,1,19,31104000.0,29331072.0
2016-01-20,2016,1,20,31449600.0,27518400.0
2016-01-21,2016,1,21,31104000.0,34836480.0
2016-01-22,2016,1,22,29462400.0,34765632.0
2016-01-23,2016,1,23,26092800.0,20169734.400000002
2016-01-24,2016,1,24,25574400.0,17902080.0
2016-01-25,2016,1,25,19785600.0,14680915.2
2016-01-26,2016,1,26,22723200.0,35675424.0
2016-01-27,2016,1,27,24364800.0,25583040.0
2016-01-28,2016,1,28,22118400.0,34725888.0
2016-01-29,2016,1,29,20995200.0,34642080.0
2016-01-30,2016,1,30,25747200.0,38878272.0
2016-01-31,2016,1,31,24364800.0,32648832.000000004
2016-02-01,2016,2,1,22636800.0,31238783.999999996
2016-02-02,2016,2,2,25747200.0,26004672.0
2016-02-03,2016,2,3,28425600.0,38374560.0
2016-02-04,2016,2,4,25315200.0,29365631.999999996
2016-02-05,2016,2,5,23068800.0,31373568.000000004
2016-02-06,2016,2,6,27993600.0,32752511.999999996
2016-02-07,2016,2,7,27129600.0,29571264.000000004
2016-02-08,2016,2,8,25315200.0,23644396.8
2016-02-09,2016,2,9,24537600.0,30672000.0
2016-02-10,2016,2,10,24796800.0,29260224.0
2016-02-11,2016,2,11,23587200.0,21322828.8
2016-02-12,2016,2,12,23068800.0,17786044.8
2016-02-13,2016,2,13,24796800.0,33971616.0
2016-02-14,2016,2,14,26092800.0,27658368.0
2016-02-15,2016,2,15,25315200.0,21568550.4
2016-02-16,2016,2,16,25833600.0,21312720.0
2016-02-17,2016,2,17,25574400.0,29154815.999999996
2016-02-18,2016,2,18,25574400.0,22710067.2
2016-02-19,2016,2,19,22118400.0,17915904.0
2016-02-20,2016,2,20,20908800.0,12336192.0
2016-02-21,2016,2,21,21254400.0,14878079.999999998
2016-02-22,2016,2,22,21513600.0,18716832.0
2016-02-23,2016,2,23,21254400.0,20021644.8
2016-02-24,2016,2,24,21254400.0,19384012.8
2016-02-25,2016,2,25,21513600.0,15898550.4
2016-02-26,2016,2,26,23587200.0,22077619.200000003
2016-02-27,2016,2,27,23846400.0,23703321.6
2016-02-28,2016,2,28,22204800.0,15920841.6
2016-02-29,2016,2,29,22550400.0,15756508.8
2016-03-01,2016,3,1,22896000.0,15592176.000000002
2016-03-02,2016,3,2,26611200.0,38586240.0
2016-03-03,2016,3,3,33609600.0,53775360.0
2016-03-04,2016,3,4,22896000.0,31825439.999999996
2016-03-05,2016,3,5,22204800.0,22648896.0
2016-03-06,2016,3,6,42595200.0,162287712.0
2016-03-07,2016,3,7,48902400.0,147685248.0
2016-03-08,2016,3,8,48902400.0,133992576.00000001
2016-03-09,2016,3,9,53827200.0,110884032.0
2016-03-10,2016,3,10,57888000.0,150508800.0
2016-03-11,2016,3,11,54604800.0,111393792.0
2016-03-12,2016,3,12,57110400.0,130211711.99999999
2016-03-13,2016,3,13,54604800.0,90643968.0
2016-03-14,2016,3,14,54604800.0,88459776.0
2016-03-15,2016,3,15,54604800.0,106479360.0
2016-03-16,2016,3,16,57888000.0,128511360.00000001
2016-03-17,2016,3,17,54604800.0,97742592.0
2016-03-18,2016,3,18,55468800.0,99289152.0
2016-03-19,2016,3,19,57110400.0,98800992.0
2016-03-20,2016,3,20,56246400.0,101243520.0
2016-03-21,2016,3,21,60393600.0,157023360.0
2016-03-22,2016,3,22,60393600.0,149172192.0
2016-03-23,2016,3,23,65491200.0,153249408.0
2016-03-24,2016,3,24,70761600.0,179026848.0
2016-03-25,2016,3,25,69811200.0,147301632.0
2016-03-26,2016,3,26,66355200.0,110813184.0
2016-03-27,2016,3,27,63763200.0,102658752.0
2016-03-28,2016,3,28,59616000.0,100751040.0
2016-03-29,2016,3,29,62899200.0,113847552.0
2016-03-30,2016,3,30,60393600.0,91798272.0
2016-03-31,2016,3,31,54604800.0,95558400.0
2016-04-01,2016,4,1,57888000.0,115776000.0
