 ,Year,Month,Day,水日通量,沙日通量,,,
2016-1-1,2016,1,1,31104000,25209792,,,
2016-1-2,2016,1,2,30326400,25474176,,,
2016-1-3,2016,1,3,29376000,19740672,,,
2016-1-4,2016,1,4,26265600,17098905.6,,,
2016-1-5,2016,1,5,27734400,19219939.2,,,
2016-1-6,2016,1,6,29894400,21942489.6,,,
2016-1-7,2016,1,7,32659200,23220691.2,,,
2016-1-8,2016,1,8,33091200,30443904,,,
2016-1-9,2016,1,9,33868800,32243097.6,,,
2016-1-10,2016,1,10,32659200,31320172.8,,,
2016-1-11,2016,1,11,28339200,24768460.8,,,
2016-1-12,2016,1,12,28339200,24400051.2,,,
2016-1-13,2016,1,13,31449600,26763609.6,,,
2016-1-14,2016,1,14,31104000,27464832,,,
2016-1-15,2016,1,15,31104000,25847424,,,
2016-1-16,2016,1,16,30672000,26561952,,,
2016-1-17,2016,1,17,29116800,25855718.4,,,
2016-1-18,2016,1,18,27993600,24578380.8,,,
2016-1-19,2016,1,19,31104000,29331072,,,
2016-1-20,2016,1,20,31449600,27518400,,,
2016-1-21,2016,1,21,31104000,34836480,,,
2016-1-22,2016,1,22,29462400,34765632,,,
2016-1-23,2016,1,23,26092800,20169734.4,,,
2016-1-24,2016,1,24,25574400,17902080,,,
2016-1-25,2016,1,25,19785600,14680915.2,,,
2016-1-26,2016,1,26,22723200,35675424,,,
2016-1-27,2016,1,27,24364800,25583040,,,
2016-1-28,2016,1,28,22118400,34725888,,,
2016-1-29,2016,1,29,20995200,34642080,,,
2016-1-30,2016,1,30,25747200,38878272,,,
2016-1-31,2016,1,31,24364800,32648832,,,
2016-2-1,2016,2,1,22636800,31238784,,,
2016-2-2,2016,2,2,25747200,26004672,,,
2016-2-3,2016,2,3,28425600,38374560,,,
2016-2-4,2016,2,4,25315200,29365632,,,
2016-2-5,2016,2,5,23068800,31373568,,,
2016-2-6,2016,2,6,27993600,32752512,,,
2016-2-7,2016,2,7,27129600,29571264,,,
2016-2-8,2016,2,8,25315200,23644396.8,,,
2016-2-9,2016,2,9,24537600,30672000,,,
2016-2-10,2016,2,10,24796800,29260224,,,
2016-2-11,2016,2,11,23587200,21322828.8,,,
2016-2-12,2016,2,12,23068800,17786044.8,,,
2016-2-13,2016,2,13,24796800,33971616,,,
2016-2-14,2016,2,14,26092800,27658368,,,
2016-2-15,2016,2,15,25315200,21568550.4,,,
2016-2-16,2016,2,16,25833600,21312720,,,
2016-2-17,2016,2,17,25574400,29154816,,,
2016-2-18,2016,2,18,25574400,22710067.2,,,
2016-2-19,2016,2,19,22118400,17915904,,,
2016-2-20,2016,2,20,20908800,12336192,,,
2016-2-21,2016,2,21,21254400,14878080,,,
2016-2-22,2016,2,22,21513600,18716832,,,
2016-2-23,2016,2,23,21254400,20021644.8,,,
2016-2-24,2016,2,24,21254400,19384012.8,,,
2016-2-25,2016,2,25,21513600,15898550.4,,,
2016-2-26,2016,2,26,23587200,22077619.2,,,
2016-2-27,2016,2,27,23846400,23703321.6,,,
2016-2-28,2016,2,28,22204800,15920841.6,,,
2016-2-29,2016,2,29,22550400,15756508.8,,,
2016-3-1,2016,3,1,22896000,15592176,,,
2016-3-2,2016,3,2,26611200,38586240,,,
2016-3-3,2016,3,3,33609600,53775360,,,
2016-3-4,2016,3,4,22896000,31825440,,,
2016-3-5,2016,3,5,22204800,22648896,,,
2016-3-6,2016,3,6,42595200,162287712,,,
2016-3-7,2016,3,7,48902400,147685248,,,
2016-3-8,2016,3,8,48902400,133992576,,,
2016-3-9,2016,3,9,53827200,110884032,,,
2016-3-10,2016,3,10,57888000,150508800,,,
2016-3-11,2016,3,11,54604800,111393792,,,
2016-3-12,2016,3,12,57110400,130211712,,,
2016-3-13,2016,3,13,54604800,90643968,,,
2016-3-14,2016,3,14,54604800,88459776,,,
2016-3-15,2016,3,15,54604800,106479360,,,
2016-3-16,2016,3,16,57888000,128511360,,,
2016-3-17,2016,3,17,54604800,97742592,,,
2016-3-18,2016,3,18,55468800,99289152,,,
2016-3-19,2016,3,19,57110400,98800992,,,
2016-3-20,2016,3,20,56246400,101243520,,,
2016-3-21,2016,3,21,60393600,157023360,,,
2016-3-22,2016,3,22,60393600,149172192,,,
2016-3-23,2016,3,23,65491200,153249408,,,
2016-3-24,2016,3,24,70761600,179026848,,,
2016-3-25,2016,3,25,69811200,147301632,,,
2016-3-26,2016,3,26,66355200,110813184,,,
2016-3-27,2016,3,27,63763200,102658752,,,
2016-3-28,2016,3,28,59616000,100751040,,,
2016-3-29,2016,3,29,62899200,113847552,,,
2016-3-30,2016,3,30,60393600,91798272,,,
2016-3-31,2016,3,31,54604800,95558400,,,
2016-4-1,2016,4,1,57888000,115776000,,,
2016-4-2,2016,4,2,57110400,86807808,,,
2016-4-3,2016,4,3,58752000,128079360,,,
2016-4-4,2016,4,4,60393600,144944640,,,
2016-4-5,2016,4,5,62899200,139007232,,,
2016-4-6,2016,4,6,62035200,140199552,,,
2016-4-7,2016,4,7,62035200,150125184,,,
2016-4-8,2016,4,8,62035200,131514624,,,
2016-4-9,2016,4,9,62035200,116005824,,,
2016-4-10,2016,4,10,60393600,91798272,,,
2016-4-11,2016,4,11,58752000,94003200,,,
2016-4-12,2016,4,12,62035200,106080192,,,
2016-4-13,2016,4,13,57888000,56730240,,,
2016-4-14,2016,4,14,54604800,70986240,,,
2016-4-15,2016,4,15,53827200,83970432,,,
2016-4-16,2016,4,16,50544000,68234400,,,
2016-4-17,2016,4,17,52185600,69928704,,,
2016-4-18,2016,4,18,51321600,69284160,,,
2016-4-19,2016,4,19,52185600,75147264,,,
2016-4-20,2016,4,20,51321600,84680640,,,
2016-4-21,2016,4,21,49766400,60217344,,,
2016-4-22,2016,4,22,45792000,62277120,,,
2016-4-23,2016,4,23,43372800,51179904,,,
2016-4-24,2016,4,24,42595200,60059232,,,
2016-4-25,2016,4,25,47433600,49805280,,,
2016-4-26,2016,4,26,45792000,49455360,,,
2016-4-27,2016,4,27,43372800,58553280,,,
2016-4-28,2016,4,28,42595200,33181660.8,,,
2016-4-29,2016,4,29,41731200,28669334.4,,,
2016-4-30,2016,4,30,41040000,41860800,,,
2016-5-1,2016,5,1,38016000,32921856,,,
2016-5-2,2016,5,2,36547200,30443817.6,,,
2016-5-3,2016,5,3,36547200,33184857.6,,,
