,2016-6-8,2016-10-20,2017-5-11,2017-9-5,2018-9-13,2019-4-13,2019-10-15,2020-3-19,2021-3-14
avg,45.07533454,45.16170941,45.24571266,45.33111219,45.3400572,45.02516524,44.86469107,44.9584676,44.98319957
10,50.005,50.1925,50.29847826,50.29847826,53.56933333,53.6438125,53.546,53.69705882,53.69705882
20,50.92,51.60166667,52.84195652,52.84195652,52.106,53.00028571,50.43375,53.04,53.04
30,48.681,51.46833333,53.612,53.612,47.58652632,49.67255462,50,49.78347826,49.78347826
40,45.876,51.335,51.595,51.595,46.29178947,46.34482353,45.99666667,46.52695652,46.52695652
50,45.32071429,48.63045455,48.70928571,48.70928571,45.25253465,45.56405278,45.81333333,45.45217949,45.45217949
60,45.32785714,45.92590909,45.82357143,45.82357143,45.23520792,45.46032211,45.63,45.3124359,45.3124359
70,45.335,45.45018519,45.495625,45.495625,45.21788119,45.35659145,45.44666667,45.17269231,45.17269231
80,45.34214286,45.53166667,45.57978261,45.57978261,45.20055446,45.25286078,45.26333333,45.03294872,45.03294872
90,45.83021739,45.69236842,45.9623913,45.9623913,45.18322772,45.14913012,45.08,44.89320513,44.89320513
100,46.63891304,46.56605263,46.345,46.345,45.16590099,45.04539945,44.89666667,44.75346154,44.75346154
110,47.12863636,47.25166667,47.21772727,47.21772727,45.14857426,44.94166879,44.71333333,44.61371795,44.61371795
120,46.87409091,47.185,47.225,47.225,45.13124752,44.83793813,44.53,44.47397436,44.47397436
130,46.61954545,47.11833333,47.13611111,47.13611111,45.11392079,44.73420746,44.51666667,44.47451613,44.47451613
140,46.365,46.42785714,46.58833333,46.58833333,45.09659406,44.6304768,44.50333333,44.49064516,44.49064516
150,44.265,44.75863636,44.205,44.205,45.07926733,44.52674613,44.49,44.50677419,44.50677419
160,44.249,44.60590909,44.239,44.239,45.06194059,44.52774757,44.47666667,44.53796117,44.53796117
170,44.233,44.45318182,44.273,44.273,45.04461386,44.55493204,44.46333333,44.57291262,44.57291262
180,44.217,44.30045455,44.307,44.307,45.02728713,44.5821165,44.45,44.60786408,44.60786408
190,44.201,44.14772727,44.341,44.341,45.0099604,44.60930097,44.4675,44.64281553,44.64281553
200,44.185,43.995,44.375,44.375,44.99263366,44.63648544,44.485,44.67776699,44.67776699
210,44.175,44.047,44.391,44.391,44.97530693,44.6636699,44.5025,44.71271845,44.71271845
220,44.165,44.099,44.407,44.407,44.9579802,44.69085437,44.52,44.7476699,44.7476699
230,44.155,44.151,44.423,44.423,44.94065347,44.71803883,44.5375,44.78262136,44.78262136
240,44.145,44.203,44.439,44.439,44.92332673,44.7452233,44.555,44.81757282,44.81757282
250,44.135,44.255,44.455,44.455,44.906,44.77240777,44.5725,44.85252427,44.85252427
260,44.8762766,44.307,44.471,44.471,44.88,44.78033962,44.59,44.85981481,44.85981481
270,44.92095745,44.359,44.487,44.487,44.854,44.76901887,44.60111111,44.83944444,44.83944444
280,44.9656383,44.411,44.503,44.503,44.828,44.75769811,44.61222222,44.81907407,44.81907407
290,45.01031915,44.463,44.519,44.519,44.802,44.74637736,44.62333333,44.7987037,44.7987037
300,45.055,44.515,44.535,44.535,44.776,44.7350566,44.63444444,44.77833333,44.77833333
310,45.07,44.589,44.586,44.586,44.75,44.73137313,44.64555556,44.76305785,44.76305785
320,45.085,44.663,44.637,44.637,44.724,44.75823881,44.65666667,44.79363636,44.79363636
330,45.1,44.737,44.688,44.688,44.698,44.78510448,44.66777778,44.82421488,44.82421488
340,45.115,44.811,44.739,44.739,44.672,44.81197015,44.67888889,44.85479339,44.85479339
350,45.13,44.885,44.79,44.79,44.646,44.83883582,44.69894737,44.8853719,44.8853719
360,45.145,44.959,44.841,44.841,44.715,44.86570149,44.72,44.91595041,44.91595041
370,45.16,45.033,44.892,44.892,44.784,44.89256716,44.74105263,44.94652893,44.94652893
380,45.175,45.107,44.943,44.943,44.853,44.92742857,44.76210526,44.97710744,44.97710744
390,45.19,45.181,44.994,44.994,44.922,44.97028571,44.78315789,45.00768595,45.00768595
400,45.205,45.255,45.045,45.045,44.991,45.01314286,44.80421053,45.03826446,45.03826446
410,45.205,45.255,45.16880952,45.16880952,45.06,45.056,44.82526316,45.06884298,45.06884298
420,45.205,45.255,45.29261905,45.29261905,45.129,45.09885714,44.84631579,45.09942149,45.09942149
430,45.205,45.255,45.32322785,45.32322785,45.198,45.14171429,44.86736842,45.13,45.13
440,45.205,45.255,45.34348101,45.34348101,45.267,45.18457143,44.06727273,45.18714286,45.18714286
450,45.205,45.255,45.36373418,45.36373418,45.336,45.22742857,44.05818182,45.24428571,45.24428571
460,45.205,45.255,45.38398734,45.38398734,45.35385714,45.276,44.04909091,43.462,43.462
470,45.205,45.255,45.40424051,45.40424051,45.37171429,45.326,44.04,43.592,43.592
480,45.205,45.255,45.42449367,45.42449367,45.38957143,45.376,44.03090909,43.722,43.722
490,45.205,45.255,45.44474684,45.44474684,45.40742857,43.926,45.37470588,43.852,43.852
500,45.205,45.255,45.465,45.465,45.42528571,44.02922581,45.41,43.982,43.982
