日期,起点距离(m),水位(m),水深(m),测点水深(m),测点水流速(m/s),测点含沙量(kg/m3)
2023-02-26,2080.0,42.1,0.0,,,
,2065.0,,3.5,0.7,0.3,
,,,,2.8,0.16,
,2053.0,,3.8,,,
,2043.0,,3.8,0.76,0.64,
,,,,3.04,0.39,
,2030.0,,3.2,,,
,2020.0,,2.9,0.58,1.04,
,,,,2.32,0.84,
,2010.0,,2.7,,,
,2000.0,,2.7,0.54,1.19,
,,,,2.16,0.89,
,1990.0,,2.7,,,
,1980.0,,2.6,0.52,1.14,
,,,,2.08,0.83,
,1969.0,,2.4,,,
,1958.0,,2.1,0.42,1.03,
,,,,1.68,0.63,
,1946.0,,1.8,,,
,1935.0,,1.3,0.26,0.63,
,,,,1.4,0.43,
,1924.0,,0.7,,,
,1912.0,,0.65,0.13,0.43,
,,,,0.52,0.29,
,1901.0,,0.6,,,
,1889.0,,0.6,0.12,0.29,
,,,,0.48,0.15,
,1877.0,,0.55,,,
,1865.0,,0.5,0.1,0.24,
,,,,0.4,0.15,
,1853.0,,0.45,,,
,1838.0,,0.4,0.24,0.14,
,1818.0,,0.0,,,
2022-07-23,2076.0,44.3,0.0,,0.0,
,2054.0,,2.0,0.4,1.54,
,,,,1.6,1.57,
,2037.0,,3.4,,,
,2021.0,,3.7,0.74,2.33,
,,,,2.96,1.83,
,2006.0,,3.6,,,
,1991.0,,3.6,0.72,2.69,
,,,,2.88,2.16,
,1976.0,,3.7,,,
,1961.0,,3.7,0.74,2.84,
,,,,2.96,2.33,
,1946.0,,3.7,,,
,1933.0,,3.7,0.74,2.78,
,,,,2.96,2.33,
,1918.0,,3.65,,,
,1903.0,,3.6,0.72,2.81,
,,,,2.88,2.21,
,1888.0,,3.55,,,
,1873.0,,3.4,0.68,2.76,
,,,,2.72,2.21,
,1858.0,,3.4,,,
,1842.0,,3.3,0.66,2.76,
,,,,2.64,2.28,
,1826.0,,3.25,,,
,1809.0,,3.16,0.63,2.62,
,,,,2.53,2.11,
,1793.0,,3.1,,,
,1775.0,,3.0,0.6,2.42,
,,,,2.4,1.89,
,1757.0,,2.9,,,
,1738.0,,2.85,0.57,2.3,
,,,,2.28,1.75,
,1717.0,,2.75,,,
,1696.0,,2.6,0.2,1.68,
,,,,0.8,1.3,
,1672.0,,0.0,,0.0,
2022-07-22,2076.0,44.18,0.0,,0.0,
,2054.0,,2.2,0.44,1.35,
,,,,1.76,1.25,
,2037.0,,3.4,,,
,2021.0,,3.6,0.72,2.21,
,,,,2.88,1.75,
,2006.0,,3.59,,,
,1991.0,,3.6,0.72,2.48,
,,,,2.88,1.99,
,1976.0,,3.6,,,
,1961.0,,3.55,0.71,2.6,
,,,,2.84,1.98,
,1946.0,,3.58,,,
,1933.0,,3.58,0.72,2.75,
,,,,2.86,2.03,
,1918.0,,3.55,,,
,1903.0,,3.5,0.7,2.79,
,,,,2.8,2.08,
,1888.0,,3.48,,,
,1873.0,,3.4,0.68,2.77,
,,,,2.72,1.98,
,1858.0,,3.3,,,
,1842.0,,3.2,0.64,2.72,
,,,,2.56,2.06,
,1826.0,,3.2,,,
,1809.0,,3.1,0.62,2.58,
,,,,2.48,1.94,
,1793.0,,3.05,,,
,1775.0,,2.9,0.58,2.45,
