                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7585,                 1.8143,                 1.3061,                0.63683,                0.57373,                0.60386,                0.30562,                 1.6467,                 1.6671,                 1.2207,             0.00066013,             0.00066013,             0.00066013
                      2,                 1.6282,                 1.2184,                 1.2191,                0.71788,                0.60689,                0.67046,                0.34623,                 1.6218,                 1.5197,                 1.2756,              0.0013137,              0.0013137,              0.0013137
                      3,                 1.6216,                 1.1322,                 1.2201,                0.71538,                0.64993,                0.70993,                0.35266,                  1.662,                 1.2371,                 1.3075,               0.001954,               0.001954,               0.001954
                      4,                 1.6021,                 1.0859,                  1.219,                0.77216,                0.63708,                0.72032,                0.36802,                 1.6795,                 1.1625,                 1.2832,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.5827,                 1.0438,                 1.2094,                  0.785,                0.73363,                0.79322,                0.41751,                 1.5758,                 1.1819,                 1.2255,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.5576,                0.99308,                 1.1921,                0.78969,                 0.7332,                0.79946,                0.43918,                 1.5404,                  1.086,                  1.219,               0.001901,               0.001901,               0.001901
                      7,                 1.5289,                 0.9732,                 1.1811,                0.79487,                0.74908,                 0.8161,                0.43732,                 1.5561,                0.96268,                 1.1989,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.5182,                0.95042,                 1.1764,                0.79888,                0.71775,                0.80227,                0.45095,                 1.4906,                0.98047,                 1.1942,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.5127,                0.94221,                 1.1729,                0.80982,                0.78113,                0.84203,                0.48708,                 1.4544,                0.85734,                 1.1657,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.5069,                0.92788,                 1.1652,                0.80346,                0.75689,                0.83029,                0.49295,                 1.4045,                0.86988,                 1.1572,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.4928,                0.90865,                 1.1629,                0.82049,                0.74624,                0.82869,                  0.478,                 1.4435,                0.88345,                 1.1601,               0.001802,               0.001802,               0.001802
                     12,                 1.4868,                0.90896,                 1.1578,                0.81953,                0.78345,                0.85046,                 0.5007,                 1.4005,                0.83407,                 1.1337,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.4749,                0.89221,                 1.1551,                0.81169,                0.69415,                0.77646,                0.43378,                 1.4794,                 1.0047,                 1.1687,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.4685,                0.87629,                 1.1494,                0.82825,                0.76453,                0.83936,                0.48274,                  1.436,                0.86426,                 1.1458,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.4602,                0.87152,                 1.1468,                0.82124,                0.79392,                 0.8532,                0.50324,                 1.3781,                0.87061,                  1.131,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.4492,                0.86462,                 1.1412,                0.84565,                0.77435,                0.85744,                 0.5084,                 1.4104,                0.82219,                 1.1504,               0.001703,               0.001703,               0.001703
                     17,                 1.4478,                0.86334,                 1.1377,                0.84261,                0.77516,                0.85221,                0.49506,                 1.4291,                0.82911,                 1.1378,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.4327,                0.84638,                 1.1352,                0.84295,                0.79033,                0.86475,                 0.5172,                 1.3786,                0.79023,                 1.1369,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.4364,                0.84396,                 1.1337,                0.83075,                0.79393,                0.85802,                 0.5026,                 1.4284,                  0.806,                 1.1419,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.4165,                0.83154,                 1.1297,                0.85284,                0.78466,                0.86611,                0.50266,                 1.4162,                0.82556,                 1.1441,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.4274,                0.83843,                 1.1314,                 0.8434,                0.77119,                0.86071,                0.50642,                 1.4015,                0.82261,                 1.1381,               0.001604,               0.001604,               0.001604
                     22,                  1.413,                0.83167,                 1.1256,                0.84229,                0.79122,                0.86056,                0.49291,                 1.4782,                0.80464,                 1.1621,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.4105,                0.82398,                 1.1231,                0.84564,                0.81018,                 0.8703,                0.51931,                 1.3784,                0.79175,                 1.1261,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.4072,                0.81399,                 1.1213,                0.84125,                0.81386,                0.87319,                0.53027,                 1.3488,                0.76199,                 1.1106,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.4069,                0.81507,                 1.1192,                0.85683,                0.80177,                0.87799,                 0.5313,                 1.3512,                0.76846,                 1.1162,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.4019,                0.81084,                 1.1173,                0.84759,                0.80309,                0.86787,                0.52167,                 1.3761,                0.77476,                 1.1216,               0.001505,               0.001505,               0.001505
                     27,                 1.3917,                0.79881,                 1.1132,                0.85122,                0.80619,                0.87485,                 0.5248,                 1.3699,                0.76479,                 1.1273,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.3894,                0.80196,                  1.112,                 0.8523,                0.80933,                0.87402,                0.51933,                 1.3814,                0.79348,                 1.1181,              0.0014654,              0.0014654,              0.0014654
