                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.47151,                 3.9116,                 1.1161,                0.27795,                0.22169,                0.11259,                0.11242,                0.11327,                 2.7384,                0.70056,              0.0033086,              0.0033086,              0.0033086
                      2,                0.20805,                 2.2861,                0.90922,                0.61424,                0.49647,                0.54676,                0.54556,                0.14445,                 1.4981,                0.83562,              0.0065762,              0.0065762,              0.0065762
                      3,                0.26949,                 1.8938,                 0.9148,                0.55751,                0.48956,                0.50568,                 0.4957,                0.23572,                 2.1235,                0.89732,              0.0097778,              0.0097778,              0.0097778
                      4,                0.27831,                 1.8015,                0.91402,                0.66915,                0.56492,                 0.6137,                0.60543,                0.21359,                 1.6874,                0.92592,               0.009703,               0.009703,               0.009703
                      5,                0.23391,                 1.5994,                0.89663,                0.70594,                0.60185,                0.66225,                0.65338,                0.16835,                 1.8329,                0.91976,               0.009604,               0.009604,               0.009604
                      6,                0.20694,                 1.5027,                0.89204,                0.78217,                0.70784,                0.80992,                0.80605,                 0.1666,                0.77865,                0.92367,               0.009505,               0.009505,               0.009505
                      7,                0.19047,                 1.4216,                0.89018,                0.78484,                 0.6785,                0.77374,                0.76361,                 0.1268,                 1.1069,                0.93193,               0.009406,               0.009406,               0.009406
                      8,                0.17352,                 1.3556,                0.88483,                0.86632,                0.70095,                0.83595,                0.83457,                0.09934,                0.78616,                  0.913,               0.009307,               0.009307,               0.009307
                      9,                0.16089,                 1.2961,                0.88051,                0.83201,                0.71456,                0.82034,                0.82009,                0.11595,                0.74506,                0.92842,               0.009208,               0.009208,               0.009208
                     10,                0.14848,                  1.247,                0.87582,                0.85072,                0.82276,                0.89237,                0.89067,                0.09651,                0.50084,                0.91149,               0.009109,               0.009109,               0.009109
                     11,                0.14142,                 1.2241,                0.87412,                 0.8943,                0.81595,                 0.9047,                0.90449,                0.08113,                0.48763,                0.90839,                0.00901,                0.00901,                0.00901
                     12,                 0.1348,                 1.1616,                0.87475,                0.86994,                0.81413,                0.88985,                0.88932,                 0.0908,                0.77644,                0.91115,               0.008911,               0.008911,               0.008911
                     13,                 0.1279,                 1.1449,                0.87163,                0.86529,                0.80625,                0.88604,                0.88449,                0.08679,                0.48911,                0.91049,               0.008812,               0.008812,               0.008812
                     14,                0.12323,                 1.1186,                0.87253,                0.88564,                0.84028,                0.90683,                0.90468,                0.08137,                0.43745,                0.91069,               0.008713,               0.008713,               0.008713
                     15,                0.11897,                  1.098,                0.87263,                0.87892,                 0.8116,                0.90601,                0.90569,                0.07758,                0.47324,                0.90713,               0.008614,               0.008614,               0.008614
                     16,                0.11663,                 1.0825,                0.87269,                0.86056,                0.81349,                0.88475,                0.88446,                0.08327,                0.89485,                  0.921,               0.008515,               0.008515,               0.008515
                     17,                0.11165,                 1.0744,                0.86932,                0.89411,                0.85124,                0.92807,                0.92701,                0.06411,                0.43113,                0.90579,               0.008416,               0.008416,               0.008416
                     18,                0.11034,                 1.0471,                0.86697,                0.91057,                  0.824,                0.91407,                0.91339,                0.06861,                0.38974,                0.90737,               0.008317,               0.008317,               0.008317
                     19,                0.10641,                 1.0457,                0.86905,                0.90659,                0.84324,                0.92974,                0.92892,                 0.0792,                0.39612,                0.90832,               0.008218,               0.008218,               0.008218
                     20,                0.10643,                 1.0268,                0.86914,                0.90081,                0.85006,                0.92097,                0.92015,                0.06724,                0.42236,                0.90734,               0.008119,               0.008119,               0.008119
                     21,                0.10206,                 1.0037,                0.86943,                0.91618,                0.83672,                0.92903,                0.92876,                 0.0933,                0.39828,                 0.9174,                0.00802,                0.00802,                0.00802
                     22,                0.09967,                 1.0035,                0.86883,                0.90519,                0.86166,                 0.9285,                 0.9285,                0.06589,                0.41154,                0.90593,               0.007921,               0.007921,               0.007921
